name,description,brand,size_by_ml,six,type,old_price,price
alfred dunhill london,"alfred dunhill london for men -eau de toilette ,100 ml",na,100,men,toilette,159.60 SAR,106.72
obsession,"obsession by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,221.00 SAR,108.77
ch,"ch by carolina herrera for men - eau de toilette, 100ml",carolina herrera ,100,men,toilette,420.00 SAR,239.05
tresor midnight rose,"tresor midnight rose by lancome for women - eau de parfum, 75 ml",lancome ,75,women,parfum,252.98,252.98
hugo red,"hugo red by hugo boss for men - eau de toilette, 150ml",hugo boss ,150,men,toilette,409.50 SAR,212.59
lancome la vie est belle`,"lancome la vie est belle` by lancome for women - eau de parfum, 75ml",lancome ,75,women,parfum,524.00 SAR,327.50
the one,"the one by dolce and gabbana for men - eau de toilette, 150ml",dolce and gabbana ,150,men,toilette,368.00 SAR,258.34
l'homme ideal,"l'homme ideal by guerlain for men - eau de parfum, 100ml",guerlain ,100,men,parfum,193.39,193.39
icon absolute,"icon absolute by dunhill for men - eau de parfum, 50ml",dunhill ,50,men,parfum,294.00 SAR,164.27
manifesto,"manifesto by yves saint laurent for women - eau de parfum, 50ml",yves saint laurent ,50,women,parfum,223.65,223.65
the scent,"the scent by hugo boss for men - eau de toilette, 50 ml",hugo boss ,50,men,toilette,149.71,149.71
pour homme,"pour homme by dolce & gabbana for men - eau de toilette, 75ml",dolce & gabbana ,75,men,toilette,202.00,202.00
euphoria,"euphoria by calvin klein for men - eau de toilette, 50ml",calvin klein ,50,men,toilette,98.65,98.65
body tender,"body tender by burberry for women - eau de toilette, 60ml",burberry ,60,women,toilette,106.89,106.89
gucci guilty,"gucci guilty for women - eau de toilette, 50ml",na,50,women,toilette,160.72,160.72
eros,"eros by versace for men - eau de toilette, 200ml",versace ,200,men,toilette,378.00 SAR,268.00
davidoff cool water,"davidoff cool water for women - eau de toilette, 50ml",na,50,women,toilette,84.98,84.98
icon,"icon by alfred dunhill for men - eau de parfum, 100ml",alfred dunhill ,100,men,parfum,457.00 SAR,140.93
alien essence absolue refillable,"alien essence absolue refillable by thierry mugler for women - eau de parfum, 60ml",thierry mugler ,60,women,parfum,462.00 SAR,118.48
calvin klein ck be,calvin klein ck be for unisex 100ml - eau de toilette,na,100,unisex,toilette,157.00 SAR,68.83
bright crystal,"bright crystal by versace for women - eau de toilette, 5ml",versace ,5,women,toilette,50.00,50.00
homme intense,"homme intense by christian dior for men - eau de parfum, 50ml",christian dior ,50,men,parfum,421.20,421.20
femme,"femme by hugo boss for women - eau de parfum, 50ml",hugo boss ,50,women,parfum,117.67,117.67
brit,"brit by burberry for women - eau de parfum, 50ml",burberry ,50,women,parfum,121.00,121.00
touch,"touch by burberry for women - eau de parfum, 50ml",burberry ,50,women,parfum,129.49,129.49
212 men,"212 men by carolina herrera for men - eau de toilette, 50ml",carolina herrera ,50,men,toilette,336.00 SAR,173.48
yellow diamond intense,"yellow diamond intense by versace for women - eau de parfum, 90ml",versace ,90,women,parfum,209.93,209.93
black xs l'exces for her,"black xs l'exces for her by paco rabanne for women - eau de parfum, 80ml",paco rabanne ,80,women,parfum,181.48,181.48
gucci sport pour homme,"gucci sport pour homme by gucci for men - eau de toilette, 90ml",gucci ,90,men,toilette,294.00 SAR,215.00
euphoria essence,"euphoria essence by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,294.00 SAR,273.00
fantasy,"fantasy by britney spears for women - eau de parfum, 100ml",britney spears ,100,women,parfum,125.00 SAR,76.98
dolce & gabbana pour femme eau de parfum,dolce & gabbana pour femme eau de parfum for women 50ml,na,50,women,parfum,181.44,181.44
man,"man by calvin klein for men - eau de toilette, 100ml",calvin klein ,100,men,toilette,294.00 SAR,108.78
liquid gold euphoria,"liquid gold euphoria by calvin klein for women - eau de parfum, 100ml",calvin klein ,100,women,parfum,378.00 SAR,199.00
private show,"private show by britney spears for women - eau de parfum, 100 ml",britney spears ,100,women,parfum,199.10,199.10
liquid gold euphoria,"liquid gold euphoria by calvin klein for men - eau de parfum, 100ml",calvin klein ,100,men,parfum,378.00 SAR,224.50
mr burberry,"mr burberry by burberry for men - eau de toilette, 50ml",burberry ,50,men,toilette,120.67,120.67
truth,"truth by calvin klein for men - eau de toilette, 100ml",calvin klein ,100,men,toilette,272.00 SAR,114.99
gucci guilty intense,"gucci guilty intense for women - eau de parfum, 75ml",na,75,women,parfum,346.00 SAR,189.98
boss jour pour femme,"boss jour pour femme by hugo boss for women - eau de parfum, 75ml",hugo boss ,75,women,parfum,441.00 SAR,162.35
velvet patchouli,"velvet patchouli by dolce & gabbana for unisex - eau de parfum, 50 ml",dolce & gabbana ,50,unisex,parfum,"1,013.25 SAR",317.98
eden,"eden by cacharel for women - eau de parfum, 50ml",cacharel ,50,women,parfum,154.00 SAR,85.74
london fabric,"london fabric by burberry for men - eau de toilette, 50ml",burberry ,50,men,toilette,128.99,128.99
the beat,"the beat by burberry for men - eau de toilette, 100 ml",burberry ,100,men,toilette,225.00 SAR,144.19
obsession,"obsession by calvin klein for men - eau de toilette, 125ml",calvin klein ,125,men,toilette,210.00 SAR,107.90
black orchid,"black orchid by tom ford - eau de parfum, 100ml","tom ford - eau de parfum, 100ml",100,na,parfum,578.00 SAR,320.00
212 vip,"212 vip by carolina herrera for women - eau de parfum, 80ml",carolina herrera ,80,women,parfum,436.00 SAR,218.16
n°5,"n°5 by chanel for women - eau de parfum, 100 ml",chanel ,100,women,parfum,704.00 SAR,520.00
gris montaigne,"gris montaigne by christian dior for unisex - eau de parfum, 250 ml",christian dior ,250,unisex,parfum,"1,361.66","1,361.66"
made to measure,"made to measure by gucci for men - eau de toilette, 50ml",gucci ,50,men,toilette,137.88,137.88
organza,"organza by givenchy for women - eau de parfum, 100ml",givenchy ,100,women,parfum,502.00 SAR,229.95
noir,"noir by lacoste for men - eau de toilette, 100ml",lacoste ,100,men,toilette,242.00 SAR,129.37
dunhill man,"dunhill man by dunhill for men - eau de toilette, 75ml",dunhill ,75,men,toilette,252.00 SAR,107.19
1 million,"1 million by paco rabanne for men - eau de toilette, 100ml",paco rabanne ,100,men,toilette,431.00 SAR,219.33
envy me,"envy me by gucci for women - eau de toilette, 50ml",gucci ,50,women,toilette,192.84,192.84
